subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
2,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6588,3546090
2,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,5538,3551633
2,MCQ,3,€19 today,€25 in 53 days,€19 today,now,3141,3554777
2,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,4181,3558960
2,MCQ,5,€14 today,€25 in 19 days,€14 today,now,3998,3562960
2,MCQ,6,€47 today,€50 in 160 days,€47 today,now,4007,3566970
2,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,3111,3570086
2,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2666,3572756
2,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3155,3575916
2,MCQ,10,€40 today,€55 in 62 days,€40 today,now,3291,3579210
2,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,3175,3582390
2,MCQ,12,€67 today,€75 in 119 days,€67 today,now,2746,3585140
2,MCQ,13,€34 today,€35 in 186 days,€34 today,now,2789,3587935
2,MCQ,14,€27 today,€50 in 21 days,€27 today,now,3931,3591871
2,MCQ,15,€69 today,€85 in 91 days,€69 today,now,2643,3594518
2,MCQ,16,€49 today,€60 in 89 days,€49 today,now,2610,3597132
2,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2783,3599918
2,MCQ,18,€24 today,€35 in 29 days,€24 today,now,2691,3602613
2,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2635,3605252
2,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2534,3607790
2,MCQ,21,€34 today,€50 in 30 days,€34 today,now,2714,3610509
2,MCQ,22,€25 today,€30 in 80 days,€25 today,now,2534,3613047
2,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2523,3615574
2,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2659,3618238
2,MCQ,25,€54 today,€80 in 30 days,€54 today,now,2944,3621184
2,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2779,3623966
2,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2593,3626565
