subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
1,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6728,3437765
1,MCQ,2,€55 today,€75 in 61 days,€55 today,now,5416,3443185
1,MCQ,3,€19 today,€25 in 53 days,€19 today,now,4212,3447404
1,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3077,3450485
1,MCQ,5,€14 today,€25 in 19 days,€14 today,now,2213,3452703
1,MCQ,6,€47 today,€50 in 160 days,€47 today,now,2145,3454850
1,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2315,3457168
1,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,1865,3459037
1,MCQ,9,€78 today,€80 in 14 days,€78 today,now,2480,3461520
1,MCQ,10,€40 today,€55 in 62 days,€40 today,now,2929,3464453
1,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,1779,3466235
1,MCQ,12,€67 today,€75 in 119 days,€67 today,now,2816,3469053
1,MCQ,13,€34 today,€35 in 186 days,€34 today,now,1779,3470838
1,MCQ,14,€27 today,€50 in 21 days,€27 today,now,2031,3472872
1,MCQ,15,€69 today,€85 in 91 days,€69 today,now,2197,3475071
1,MCQ,16,€49 today,€60 in 89 days,€49 today,now,2596,3477670
1,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2099,3479773
1,MCQ,18,€24 today,€35 in 29 days,€24 today,now,2244,3482020
1,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,1967,3483990
1,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2228,3486221
1,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2599,3488823
1,MCQ,22,€25 today,€30 in 80 days,€25 today,now,2447,3491273
1,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2547,3493824
1,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2464,3496291
1,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,3262,3499556
1,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2931,3502492
1,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2211,3504705
