subjectID,task,outcome,question,resp,rt
37,SAM,loss,control,f,6883
38,SAM,win,valence,f,16069
38,SAM,win,arousal,f,13587
38,SAM,win,control,f,6930
38,SAM,loss,valence,h,6332
38,SAM,loss,arousal,h,8020
38,SAM,loss,control,h,3750
4,SAM,win,valence,d,7516
4,SAM,win,arousal,f,8027
4,SAM,win,control,g,15285
4,SAM,loss,valence,h,4232
4,SAM,loss,arousal,g,7073
4,SAM,loss,control,f,4478
40,SAM,win,valence,g,12543
40,SAM,win,arousal,j,7694
40,SAM,win,control,g,13015
40,SAM,loss,valence,g,6342
40,SAM,loss,arousal,g,5983
40,SAM,loss,control,g,8541
41,SAM,win,valence,d,11125
41,SAM,win,arousal,d,6859
41,SAM,win,control,h,4477
41,SAM,loss,arousal,j,4555
41,SAM,loss,control,g,3739
41,SAM,loss,valence,j,3399
42,SAM,win,valence,d,6243
42,SAM,win,arousal,h,8810
42,SAM,win,control,g,8000
42,SAM,loss,valence,h,3596
42,SAM,loss,arousal,h,5042
42,SAM,loss,control,g,4736
43,SAM,win,valence,f,13656
43,SAM,win,arousal,j,16822
43,SAM,win,control,g,10790
43,SAM,loss,valence,h,7367
43,SAM,loss,arousal,f,3557
43,SAM,loss,control,f,5904
44,SAM,win,valence,f,11828
44,SAM,win,arousal,h,9071
44,SAM,win,control,h,5465
44,SAM,loss,valence,h,2702
44,SAM,loss,control,h,1623
44,SAM,loss,arousal,h,5897
45,SAM,win,valence,d,14679
45,SAM,win,arousal,d,186
45,SAM,win,control,f,10084
45,SAM,loss,valence,h,2868
45,SAM,loss,arousal,f,4143
45,SAM,loss,control,f,5497
46,SAM,win,valence,d,10794
46,SAM,win,arousal,d,11182
46,SAM,win,control,g,8838
46,SAM,loss,valence,g,21906
46,SAM,loss,arousal,h,8879
46,SAM,loss,control,f,5841
47,SAM,win,valence,d,5872
47,SAM,win,arousal,f,7269
47,SAM,win,control,h,10811
47,SAM,loss,valence,h,3547
47,SAM,loss,arousal,h,6945
47,SAM,loss,control,f,7731
48,SAM,win,valence,h,5872
48,SAM,win,arousal,f,6250
48,SAM,win,control,h,5864
48,SAM,loss,valence,g,7450
48,SAM,loss,arousal,h,5488
48,SAM,loss,control,h,1560
49,SAM,win,valence,f,15085
49,SAM,win,arousal,g,11788
49,SAM,win,control,h,10331
49,SAM,loss,valence,h,5533
49,SAM,loss,arousal,h,9043
49,SAM,loss,control,f,5968
5,SAM,win,valence,g,12213
5,SAM,win,arousal,g,7314
5,SAM,win,control,g,20220
5,SAM,loss,valence,g,5414
5,SAM,loss,arousal,h,7463
5,SAM,loss,control,g,6513
50,SAM,win,valence,f,25554
50,SAM,win,arousal,g,10588
50,SAM,win,control,g,10662
50,SAM,loss,valence,h,4650
50,SAM,loss,arousal,g,10975
50,SAM,loss,control,f,3530
51,SAM,win,valence,d,14578
51,SAM,win,arousal,f,7285
51,SAM,win,control,h,7467
51,SAM,loss,valence,g,4407
51,SAM,loss,arousal,g,3491
51,SAM,loss,control,f,2095
6,SAM,win,valence,d,9600
6,SAM,win,arousal,g,6896
6,SAM,win,control,g,5359
6,SAM,loss,valence,j,3604
6,SAM,loss,arousal,g,4128
6,SAM,loss,control,g,2670
7,SAM,win,valence,d,13526
7,SAM,win,arousal,d,10145
7,SAM,win,control,f,18069
7,SAM,loss,valence,h,4687
7,SAM,loss,arousal,g,4376
7,SAM,loss,control,h,2291
8,SAM,win,valence,d,14093
8,SAM,win,arousal,d,19728
8,SAM,win,control,h,8249
8,SAM,loss,valence,j,8658
8,SAM,loss,arousal,g,16846
8,SAM,loss,control,f,8990
9,SAM,win,valence,f,15713
9,SAM,win,arousal,f,9198
9,SAM,win,control,j,12523
9,SAM,loss,valence,g,4770
9,SAM,loss,arousal,h,7361
9,SAM,loss,control,h,4098
