subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
36,MCQ,1,€54 today,€55 in 117 days,€54 today,now,10425,4569375
36,MCQ,2,€55 today,€75 in 61 days,€55 today,now,11217,4580597
36,MCQ,3,€19 today,€25 in 53 days,€19 today,now,9271,4589873
36,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,4789,4594667
36,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3776,4603977
36,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,3424,4607406
36,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,5525,4600197
36,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,3309,4610720
36,MCQ,9,€78 today,€80 in 14 days,€78 today,now,4475,4615199
36,MCQ,10,€40 today,€55 in 62 days,€40 today,now,4242,4619447
36,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2843,4622295
36,MCQ,12,€67 today,€75 in 119 days,€67 today,now,4307,4626606
36,MCQ,13,€34 today,€35 in 186 days,€34 today,now,5925,4632536
36,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,3657,4636197
36,MCQ,16,€49 today,€60 in 89 days,€49 today,now,3675,4644291
36,MCQ,17,€80 today,€85 in 157 days,€80 today,now,3411,4647706
36,MCQ,15,€69 today,€85 in 91 days,€69 today,now,4410,4640611
36,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,3493,4659029
36,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,7821,4655531
36,MCQ,20,€28 today,€30 in 179 days,€28 today,now,5461,4664494
36,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,3834,4668335
36,MCQ,26,€22 today,€25 in 136 days,€22 today,now,3204,4686036
36,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,3277,4689318
