subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
16,MCQ,1,€54 today,€55 in 117 days,€54 today,now,39285,3339307
16,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,12693,3352011
16,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,9452,3361475
16,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,7662,3369146
16,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,1958,3371114
16,MCQ,6,€47 today,€50 in 160 days,€50 in 160 days,wait,1723,3372848
16,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,1095,3373951
16,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,754,3374711
16,MCQ,9,€78 today,€80 in 14 days,€80 in 14 days,wait,811,3375531
16,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,965,3376503
16,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,1000,3377512
16,MCQ,12,€67 today,€75 in 119 days,€75 in 119 days,wait,2102,3379621
16,MCQ,13,€34 today,€35 in 186 days,€34 today,now,2032,3381664
16,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,1415,3383085
16,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,1629,3384720
16,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,7201,3391925
16,MCQ,17,€80 today,€85 in 157 days,€80 today,now,5829,3397758
16,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,2213,3399975
16,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2279,3402257
16,MCQ,20,€28 today,€30 in 179 days,€28 today,now,1769,3404028
16,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,1123,3405154
16,MCQ,22,€25 today,€30 in 80 days,€30 in 80 days,wait,3540,3408698
16,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,1872,3410579
16,MCQ,24,€54 today,€60 in 111 days,€54 today,now,1444,3412026
16,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,1166,3413195
16,MCQ,26,€22 today,€25 in 136 days,€22 today,now,3820,3417020
16,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,1340,3418365
