subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
32,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6604,3745953
32,MCQ,2,€55 today,€75 in 61 days,€55 today,now,16171,3762127
32,MCQ,3,€19 today,€25 in 53 days,€19 today,now,4273,3766403
32,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3678,3770083
32,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,6347,3776432
32,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3457,3779892
32,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,3567,3783461
32,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2330,3785793
32,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3028,3788823
32,MCQ,10,€40 today,€55 in 62 days,€40 today,now,6121,3794947
32,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2930,3797880
32,MCQ,12,€67 today,€75 in 119 days,€67 today,now,3112,3800998
32,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3163,3804163
32,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,3845,3808011
32,MCQ,15,€69 today,€85 in 91 days,€69 today,now,7810,3815823
32,MCQ,16,€49 today,€60 in 89 days,€49 today,now,5432,3821258
32,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2806,3824066
32,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,5765,3829833
32,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2449,3832284
32,MCQ,20,€28 today,€30 in 179 days,€28 today,now,3654,3835941
32,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,3210,3839153
32,MCQ,22,€25 today,€30 in 80 days,€25 today,now,3013,3842168
32,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2592,3844762
32,MCQ,24,€54 today,€60 in 111 days,€54 today,now,3013,3847776
32,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,3018,3850797
32,MCQ,26,€22 today,€25 in 136 days,€22 today,now,3361,3854161
32,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,3322,3857485
