subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
11,MCQ,1,€54 today,€55 in 117 days,€54 today,now,10173,3496121
11,MCQ,2,€55 today,€75 in 61 days,€55 today,now,5663,3501786
11,MCQ,3,€19 today,€25 in 53 days,€19 today,now,4056,3505845
11,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3588,3509436
11,MCQ,5,€14 today,€25 in 19 days,€14 today,now,3231,3512669
11,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3516,3516188
11,MCQ,7,€15 today,€35 in 13 days,€15 today,now,3408,3519599
11,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2766,3522367
11,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3100,3525470
11,MCQ,10,€40 today,€55 in 62 days,€40 today,now,2823,3528295
11,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,5535,3533832
11,MCQ,12,€67 today,€75 in 119 days,€67 today,now,5662,3539496
11,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3700,3543199
11,MCQ,14,€27 today,€50 in 21 days,€27 today,now,7275,3550477
11,MCQ,15,€69 today,€85 in 91 days,€69 today,now,3323,3553803
11,MCQ,16,€49 today,€60 in 89 days,€49 today,now,3334,3557139
11,MCQ,17,€80 today,€85 in 157 days,€80 today,now,3083,3560224
11,MCQ,18,€24 today,€35 in 29 days,€24 today,now,2694,3562920
11,MCQ,19,€33 today,€80 in 14 days,€33 today,now,3447,3566369
11,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2626,3568997
11,MCQ,21,€34 today,€50 in 30 days,€34 today,now,3453,3572453
11,MCQ,22,€25 today,€30 in 80 days,€25 today,now,2603,3575058
11,MCQ,23,€41 today,€75 in 20 days,€41 today,now,2691,3577752
11,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2361,3580116
11,MCQ,25,€54 today,€80 in 30 days,€54 today,now,2512,3582631
11,MCQ,26,€22 today,€25 in 136 days,€22 today,now,3269,3585902
11,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,4528,3590433
