subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
30,MCQ,1,€54 today,€55 in 117 days,€54 today,now,5554,3510410
30,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,6492,3516904
30,MCQ,3,€19 today,€25 in 53 days,€19 today,now,4571,3521479
30,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,2927,3524411
30,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,3377,3527791
30,MCQ,6,€47 today,€50 in 160 days,€47 today,now,2829,3530622
30,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2001,3532626
30,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,1659,3534289
30,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3754,3538046
30,MCQ,10,€40 today,€55 in 62 days,€40 today,now,2817,3540867
30,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,3354,3544225
30,MCQ,12,€67 today,€75 in 119 days,€67 today,now,3679,3547909
30,MCQ,13,€34 today,€35 in 186 days,€34 today,now,2299,3550212
30,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2158,3552373
30,MCQ,15,€69 today,€85 in 91 days,€69 today,now,2404,3554780
30,MCQ,16,€49 today,€60 in 89 days,€49 today,now,3413,3558197
30,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2346,3560548
30,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,3759,3564310
30,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,3597,3567912
30,MCQ,20,€28 today,€30 in 179 days,€28 today,now,1843,3569759
30,MCQ,21,€34 today,€50 in 30 days,€34 today,now,2266,3572029
30,MCQ,22,€25 today,€30 in 80 days,€25 today,now,2795,3574827
30,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,1898,3576728
30,MCQ,24,€54 today,€60 in 111 days,€54 today,now,1858,3578590
30,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2302,3580896
30,MCQ,26,€22 today,€25 in 136 days,€22 today,now,1616,3582516
30,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,1416,3583936
