subjectID,age,gender,nationality,block_number,trial_number,trial_type,guess_outcome,delay_time,delay_pos,immediate_amount,stage,respRT,respKey,blur_count,focus_count,total_points,remaining_duration,time_elapsed
41,20,female,Belgian,1,1,guess,loss,5,right,11,guess_start,4305,space,0,0,0,475691,242668
41,20,female,Belgian,1,1,guess,loss,5,right,11,guess_choice,2410,f,0,0,0,473268,245091
41,20,female,Belgian,1,1,guess,loss,5,right,11,guess_outcome,0,undefined,0,0,-15,471702,246657
41,20,female,Belgian,1,1,ITC,loss,5,right,11,ITC_start,1389,space,0,0,-15,470311,248048
41,20,female,Belgian,1,1,ITC,loss,5,right,11,ITC_choice,3037,f,0,0,-15,467267,251092
41,20,female,Belgian,1,1,ITC,loss,5,right,11,ITC_wait,0,undefined,0,0,-15,467260,251099
41,20,female,Belgian,1,1,ITC,loss,5,right,11,ITC_collect,502,k,0,0,-15,466753,251606
41,20,female,Belgian,1,1,ITC,loss,5,right,11,ITC_outcome,0,undefined,0,0,-4,465740,252619
41,20,female,Belgian,1,2,guess,loss,5,right,7,guess_start,2342,space,0,0,-4,463386,254973
41,20,female,Belgian,1,2,guess,loss,5,right,7,guess_choice,1778,f,0,0,-4,461602,256757
41,20,female,Belgian,1,2,guess,loss,5,right,7,guess_outcome,0,undefined,0,0,-19,460043,258316
41,20,female,Belgian,1,2,ITC,loss,5,right,7,ITC_start,1057,space,0,0,-19,458982,259377
41,20,female,Belgian,1,2,ITC,loss,5,right,7,ITC_choice,1698,j,0,0,-19,457280,261079
41,20,female,Belgian,1,2,ITC,loss,5,right,7,ITC_wait,0,undefined,0,0,-19,452278,266081
41,20,female,Belgian,1,2,ITC,loss,5,right,7,ITC_collect,1062,k,0,0,-19,451212,267147
41,20,female,Belgian,1,2,ITC,loss,5,right,7,ITC_outcome,0,undefined,0,0,1,450199,268160
41,20,female,Belgian,1,3,guess,loss,10,left,6,guess_start,982,space,0,0,1,449214,269145
41,20,female,Belgian,1,3,guess,loss,10,left,6,guess_choice,1087,j,0,0,1,448108,270251
41,20,female,Belgian,1,3,guess,loss,10,left,6,guess_outcome,0,undefined,0,0,-14,446540,271819
41,20,female,Belgian,1,3,ITC,loss,10,left,6,ITC_start,911,space,0,0,-14,445626,272733
41,20,female,Belgian,1,3,ITC,loss,10,left,6,ITC_choice,2353,f,0,0,-14,443268,275091
41,20,female,Belgian,1,3,ITC,loss,10,left,6,ITC_wait,0,undefined,0,0,-14,433264,285095
41,20,female,Belgian,1,3,ITC,loss,10,left,6,ITC_collect,1081,k,0,0,-14,432178,286181
41,20,female,Belgian,1,3,ITC,loss,10,left,6,ITC_outcome,0,undefined,0,0,6,431165,287194
41,20,female,Belgian,1,4,guess,neutral,5,right,16,guess_start,999,space,0,0,6,430161,288198
41,20,female,Belgian,1,4,guess,neutral,5,right,16,guess_choice,3995,j,0,0,6,426148,292211
