subjectID,age,gender,nationality,block_number,trial_number,trial_type,guess_outcome,delay_time,delay_pos,immediate_amount,stage,respRT,respKey,blur_count,focus_count,total_points,remaining_duration,time_elapsed
48,19,female,Belg,1,1,guess,neutral,5,right,16,guess_start,2748,space,0,0,0,477248,472410
48,19,female,Belg,1,1,guess,neutral,5,right,16,guess_choice,914,j,0,0,0,476326,473332
48,19,female,Belg,1,1,guess,neutral,5,right,16,guess_outcome,0,undefined,0,0,0,474764,474894
48,19,female,Belg,1,1,ITC,neutral,5,right,16,ITC_start,1396,space,0,0,0,473362,476296
48,19,female,Belg,1,1,ITC,neutral,5,right,16,ITC_choice,1791,f,0,0,0,471567,478091
48,19,female,Belg,1,1,ITC,neutral,5,right,16,ITC_wait,0,undefined,0,0,0,471561,478097
48,19,female,Belg,1,1,ITC,neutral,5,right,16,ITC_collect,850,k,0,0,0,470709,478949
48,19,female,Belg,1,1,ITC,neutral,5,right,16,ITC_outcome,0,undefined,0,0,16,469702,479956
48,19,female,Belg,1,2,guess,loss,10,right,7,guess_start,2724,space,0,0,16,466969,482689
48,19,female,Belg,1,2,guess,loss,10,right,7,guess_choice,1130,f,0,0,16,465831,483827
48,19,female,Belg,1,2,guess,loss,10,right,7,guess_outcome,0,undefined,0,0,1,464270,485388
48,19,female,Belg,1,2,ITC,loss,10,right,7,ITC_start,1819,space,0,0,1,462447,487211
48,19,female,Belg,1,2,ITC,loss,10,right,7,ITC_choice,2249,f,0,0,1,460195,489463
48,19,female,Belg,1,2,ITC,loss,10,right,7,ITC_wait,0,undefined,0,0,1,460189,489469
48,19,female,Belg,1,2,ITC,loss,10,right,7,ITC_collect,567,k,0,0,1,459620,490038
48,19,female,Belg,1,2,ITC,loss,10,right,7,ITC_outcome,0,undefined,0,0,8,458614,491044
48,19,female,Belg,1,3,guess,win,10,left,7,guess_start,1818,space,0,0,8,456791,492867
48,19,female,Belg,1,3,guess,win,10,left,7,guess_choice,1160,f,0,0,8,455624,494034
48,19,female,Belg,1,3,guess,win,10,left,7,guess_outcome,0,undefined,0,0,28,454066,495592
48,19,female,Belg,1,3,ITC,win,10,left,7,ITC_start,1655,space,0,0,28,452408,497250
48,19,female,Belg,1,3,ITC,win,10,left,7,ITC_choice,1750,f,0,0,28,450655,499003
48,19,female,Belg,1,3,ITC,win,10,left,7,ITC_wait,0,undefined,0,0,28,440647,509011
48,19,female,Belg,1,3,ITC,win,10,left,7,ITC_collect,814,k,0,0,28,439831,509827
48,19,female,Belg,1,3,ITC,win,10,left,7,ITC_outcome,0,undefined,0,0,48,438823,510835
48,19,female,Belg,1,4,guess,neutral,10,right,4,guess_start,1694,space,0,0,48,437125,512533
48,19,female,Belg,1,4,guess,neutral,10,right,4,guess_choice,759,j,0,0,48,436359,513299
48,19,female,Belg,1,4,guess,neutral,10,right,4,guess_outcome,0,undefined,0,0,48,434803,514855
