subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
10,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6244,3778505
10,MCQ,2,€55 today,€75 in 61 days,€55 today,now,6516,3785027
10,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,8933,3793965
10,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,28169,3822138
10,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,4554,3826696
10,MCQ,6,€47 today,€50 in 160 days,€47 today,now,4354,3831056
10,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,13451,3844514
10,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,3210,3847729
10,MCQ,9,€78 today,€80 in 14 days,€80 in 14 days,wait,8090,3855822
10,MCQ,10,€40 today,€55 in 62 days,€40 today,now,6017,3861845
10,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,4384,3866233
10,MCQ,12,€67 today,€75 in 119 days,€67 today,now,4938,3871176
10,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3890,3875073
10,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,8252,3883330
10,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,5529,3888863
10,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,3737,3892605
10,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2876,3895486
10,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,3175,3898665
10,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2066,3900734
10,MCQ,20,€28 today,€30 in 179 days,€28 today,now,3197,3903935
10,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,1987,3905926
10,MCQ,22,€25 today,€30 in 80 days,€25 today,now,4007,3909937
10,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2256,3912199
10,MCQ,24,€54 today,€60 in 111 days,€54 today,now,3011,3915214
10,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2476,3917697
10,MCQ,26,€22 today,€25 in 136 days,€25 in 136 days,wait,2250,3919952
10,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2796,3922753
