subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
43,MCQ,1,€54 today,€55 in 117 days,€54 today,now,9014,3625249
43,MCQ,3,€19 today,€25 in 53 days,€19 today,now,5016,3641571
43,MCQ,2,€55 today,€75 in 61 days,€55 today,now,11300,3636553
43,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3262,3644835
43,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,5486,3650323
43,MCQ,6,€47 today,€50 in 160 days,€47 today,now,5470,3655795
43,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,3315,3659113
43,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,4300,3663415
43,MCQ,9,€78 today,€80 in 14 days,€78 today,now,4682,3668099
43,MCQ,10,€40 today,€55 in 62 days,€40 today,now,5715,3673817
43,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,3638,3677457
43,MCQ,12,€67 today,€75 in 119 days,€67 today,now,4778,3682238
43,MCQ,13,€34 today,€35 in 186 days,€34 today,now,6941,3689181
43,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,6788,3695971
43,MCQ,15,€69 today,€85 in 91 days,€69 today,now,2784,3698757
43,MCQ,16,€49 today,€60 in 89 days,€49 today,now,3263,3702022
43,MCQ,17,€80 today,€85 in 157 days,€80 today,now,3933,3705957
43,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,4088,3710047
43,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,5208,3715257
43,MCQ,20,€28 today,€30 in 179 days,€28 today,now,3338,3718597
43,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,7112,3725712
43,MCQ,22,€25 today,€30 in 80 days,€25 today,now,4582,3730295
43,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,6095,3736392
43,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2597,3738992
43,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,3744,3742738
43,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2746,3745486
43,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2490,3747978
