subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
45,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6953,3873867
45,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,5785,3879685
45,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,4389,3884079
45,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,4517,3888603
45,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,3852,3892460
45,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3004,3895470
45,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2710,3898188
45,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2157,3900354
45,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3588,3903947
45,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,2421,3906373
45,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,1987,3908364
45,MCQ,12,€67 today,€75 in 119 days,€75 in 119 days,wait,3217,3911587
45,MCQ,13,€34 today,€35 in 186 days,€34 today,now,2232,3913826
45,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2229,3916058
45,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,3407,3919469
45,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,3273,3922747
45,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2253,3925003
45,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,2015,3927022
45,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,1818,3928844
45,MCQ,20,€28 today,€30 in 179 days,€28 today,now,3823,3932672
45,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2874,3935550
45,MCQ,22,€25 today,€30 in 80 days,€30 in 80 days,wait,4947,3940506
45,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,1948,3942478
45,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2657,3945139
45,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2803,3947955
45,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2265,3950255
45,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,1766,3952025
