subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
18,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6631,74403426
18,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,6934,74410367
18,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,7282,74417653
18,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3483,74421139
18,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,5804,74426946
18,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3285,74430235
18,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2443,74432683
18,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2308,74434994
18,MCQ,9,€78 today,€80 in 14 days,€80 in 14 days,wait,16715,74451713
18,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,10117,74461834
18,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2230,74464067
18,MCQ,12,€67 today,€75 in 119 days,€67 today,now,8112,74472184
18,MCQ,13,€34 today,€35 in 186 days,€34 today,now,2793,74474980
18,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,3294,74478277
18,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,5280,74483560
18,MCQ,16,€49 today,€60 in 89 days,€49 today,now,4208,74487771
18,MCQ,17,€80 today,€85 in 157 days,€80 today,now,3675,74491449
18,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,2143,74493595
18,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2380,74495979
18,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2603,74498585
18,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2443,74501032
18,MCQ,22,€25 today,€30 in 80 days,€25 today,now,3603,74504638
18,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2361,74507004
18,MCQ,24,€54 today,€60 in 111 days,€54 today,now,3057,74510064
18,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,1838,74511906
18,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2562,74514471
18,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,1179,74515654
