subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
35,MCQ,1,€54 today,€55 in 117 days,€54 today,now,10219,3979333
35,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,5327,3984667
35,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,7470,3992144
35,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,2731,3994880
35,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,3033,3997918
35,MCQ,6,€47 today,€50 in 160 days,€47 today,now,4209,4002133
35,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2346,4004485
35,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,1996,4006486
35,MCQ,9,€78 today,€80 in 14 days,€78 today,now,4716,4011206
35,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,3653,4014865
35,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2094,4016964
35,MCQ,12,€67 today,€75 in 119 days,€67 today,now,3360,4020329
35,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3050,4023384
35,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2870,4026258
35,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,2510,4028774
35,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,2584,4031363
35,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2853,4034221
35,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,3318,4037545
35,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2125,4039676
35,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2715,4042396
35,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2354,4044756
35,MCQ,22,€25 today,€30 in 80 days,€25 today,now,3286,4048047
35,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,3972,4052024
35,MCQ,24,€54 today,€60 in 111 days,€54 today,now,3025,4055054
35,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2641,4057700
35,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2527,4060232
35,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,1865,4062102
