subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
47,MCQ,1,€54 today,€55 in 117 days,€54 today,now,5092,3235367
47,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,5177,3240550
47,MCQ,3,€19 today,€25 in 53 days,€19 today,now,5281,3245835
47,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,4296,3250135
47,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,4645,3254783
47,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3896,3258683
47,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,4177,3262864
47,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,3147,3266014
47,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3312,3269330
47,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,4732,3274065
47,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2944,3277013
47,MCQ,12,€67 today,€75 in 119 days,€67 today,now,3366,3280383
47,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3389,3283776
47,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2633,3286411
47,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,2896,3289311
47,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,2913,3292227
47,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2908,3295138
47,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,2668,3297810
47,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2777,3300590
47,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2746,3303341
47,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2747,3306091
47,MCQ,22,€25 today,€30 in 80 days,€25 today,now,2980,3309074
47,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2579,3311656
47,MCQ,24,€54 today,€60 in 111 days,€54 today,now,4316,3315976
47,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2892,3318871
47,MCQ,26,€22 today,€25 in 136 days,€22 today,now,3912,3322787
47,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2385,3325175
