subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
37,MCQ,1,€54 today,€55 in 117 days,€54 today,now,12285,3450002
37,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,6223,3456229
37,MCQ,3,€19 today,€25 in 53 days,€19 today,now,4147,3460378
37,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,2757,3463137
37,MCQ,5,€14 today,€25 in 19 days,€14 today,now,3264,3466404
37,MCQ,6,€47 today,€50 in 160 days,€47 today,now,2439,3468846
37,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2853,3471701
37,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,1912,3473615
37,MCQ,9,€78 today,€80 in 14 days,€78 today,now,2359,3475977
37,MCQ,10,€40 today,€55 in 62 days,€40 today,now,2362,3478342
37,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2769,3481115
37,MCQ,12,€67 today,€75 in 119 days,€67 today,now,6320,3487438
37,MCQ,13,€34 today,€35 in 186 days,€34 today,now,2063,3489503
37,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2450,3491956
37,MCQ,15,€69 today,€85 in 91 days,€69 today,now,2754,3494712
37,MCQ,16,€49 today,€60 in 89 days,€49 today,now,2486,3497201
37,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2476,3499679
37,MCQ,18,€24 today,€35 in 29 days,€24 today,now,3396,3503078
37,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,3858,3506938
37,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2600,3509540
37,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,1906,3511448
37,MCQ,22,€25 today,€30 in 80 days,€25 today,now,2391,3513841
37,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2999,3516842
37,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2423,3519267
37,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2035,3521304
37,MCQ,26,€22 today,€25 in 136 days,€22 today,now,1975,3523282
37,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2138,3525423
