subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
49,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6324,6125438
49,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,9316,6134759
49,MCQ,3,€19 today,€25 in 53 days,€19 today,now,3081,6137845
49,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,2562,6140410
49,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,4589,6145003
49,MCQ,6,€47 today,€50 in 160 days,€47 today,now,2778,6147786
49,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,3517,6151308
49,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,1936,6153249
49,MCQ,9,€78 today,€80 in 14 days,€78 today,now,2495,6155748
49,MCQ,10,€40 today,€55 in 62 days,€40 today,now,2751,6158503
49,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,1869,6160376
49,MCQ,12,€67 today,€75 in 119 days,€67 today,now,2013,6162393
49,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3057,6165454
49,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,3303,6168762
49,MCQ,15,€69 today,€85 in 91 days,€69 today,now,2022,6170788
49,MCQ,16,€49 today,€60 in 89 days,€49 today,now,2109,6172902
49,MCQ,17,€80 today,€85 in 157 days,€80 today,now,1889,6174795
49,MCQ,18,€24 today,€35 in 29 days,€24 today,now,2662,6177462
49,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,3433,6180899
49,MCQ,20,€28 today,€30 in 179 days,€28 today,now,1873,6182776
49,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2029,6184809
49,MCQ,22,€25 today,€30 in 80 days,€25 today,now,1693,6186506
49,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,1940,6188451
49,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2575,6191030
49,MCQ,25,€54 today,€80 in 30 days,€54 today,now,1897,6192931
49,MCQ,26,€22 today,€25 in 136 days,€22 today,now,1837,6194772
49,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,3442,6198217
