subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
14,MCQ,1,€54 today,€55 in 117 days,€54 today,now,5732,3050276
14,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,3543,3053825
14,MCQ,3,€19 today,€25 in 53 days,€19 today,now,4894,3058724
14,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,2311,3061040
14,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,3662,3064707
14,MCQ,6,€47 today,€50 in 160 days,€47 today,now,3513,3068223
14,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2345,3070573
14,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2912,3073490
14,MCQ,9,€78 today,€80 in 14 days,€78 today,now,2228,3075722
14,MCQ,10,€40 today,€55 in 62 days,€40 today,now,3465,3079190
14,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,1713,3080907
14,MCQ,12,€67 today,€75 in 119 days,€67 today,now,2245,3083156
14,MCQ,13,€34 today,€35 in 186 days,€34 today,now,2647,3085807
14,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2379,3088190
14,MCQ,15,€69 today,€85 in 91 days,€69 today,now,2613,3090808
14,MCQ,16,€49 today,€60 in 89 days,€49 today,now,3295,3094107
14,MCQ,17,€80 today,€85 in 157 days,€80 today,now,2762,3096873
14,MCQ,18,€24 today,€35 in 29 days,€24 today,now,2313,3099190
14,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,3545,3102740
14,MCQ,20,€28 today,€30 in 179 days,€28 today,now,2296,3105040
14,MCQ,21,€34 today,€50 in 30 days,€34 today,now,1512,3106557
14,MCQ,22,€25 today,€30 in 80 days,€25 today,now,1496,3108057
14,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2296,3110357
14,MCQ,24,€54 today,€60 in 111 days,€54 today,now,2446,3112807
14,MCQ,25,€54 today,€80 in 30 days,€54 today,now,1329,3114140
14,MCQ,26,€22 today,€25 in 136 days,€22 today,now,1129,3115273
14,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2314,3117590
