subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
13,MCQ,1,€54 today,€55 in 117 days,€54 today,now,6582,3109652
13,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,6038,3115693
13,MCQ,3,€19 today,€25 in 53 days,€19 today,now,9245,3124941
13,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3873,3128819
13,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,5254,3134076
13,MCQ,6,€47 today,€50 in 160 days,€47 today,now,4000,3138076
13,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,2950,3141029
13,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,3701,3144734
13,MCQ,9,€78 today,€80 in 14 days,€78 today,now,3283,3148020
13,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,2863,3150885
13,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,3052,3153942
13,MCQ,12,€67 today,€75 in 119 days,€75 in 119 days,wait,2764,3156709
13,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3422,3160134
13,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2939,3163076
13,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,2557,3165636
13,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,2021,3167660
13,MCQ,17,€80 today,€85 in 157 days,€80 today,now,3383,3171045
13,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,2644,3173691
13,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2415,3176109
13,MCQ,20,€28 today,€30 in 179 days,€28 today,now,3127,3179239
13,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2419,3181661
13,MCQ,22,€25 today,€30 in 80 days,€30 in 80 days,wait,3634,3185297
13,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2106,3187405
13,MCQ,24,€54 today,€60 in 111 days,€60 in 111 days,wait,3398,3190806
13,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2811,3193621
13,MCQ,26,€22 today,€25 in 136 days,€25 in 136 days,wait,3086,3196710
13,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2582,3199295
