subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed
19,MCQ,1,€54 today,€55 in 117 days,€55 in 117 days,wait,13474,4103395
19,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,5816,4109216
19,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,4157,4113377
19,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,4258,4117639
19,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,5164,4122807
19,MCQ,6,€47 today,€50 in 160 days,€50 in 160 days,wait,9052,4131864
19,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,5889,4137758
19,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,3485,4141247
19,MCQ,9,€78 today,€80 in 14 days,€80 in 14 days,wait,10572,4151822
19,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,3943,4155768
19,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2801,4158574
19,MCQ,12,€67 today,€75 in 119 days,€75 in 119 days,wait,3840,4162417
19,MCQ,13,€34 today,€35 in 186 days,€35 in 186 days,wait,8119,4170539
19,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2862,4173406
19,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,2705,4176116
19,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,3044,4179165
19,MCQ,17,€80 today,€85 in 157 days,€85 in 157 days,wait,5148,4184316
19,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,2660,4186979
19,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,3068,4190052
19,MCQ,20,€28 today,€30 in 179 days,€30 in 179 days,wait,5108,4195164
19,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,2547,4197715
19,MCQ,22,€25 today,€30 in 80 days,€30 in 80 days,wait,2526,4200244
19,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,7855,4208104
19,MCQ,24,€54 today,€60 in 111 days,€60 in 111 days,wait,4337,4212445
19,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,3171,4215619
19,MCQ,26,€22 today,€25 in 136 days,€25 in 136 days,wait,3612,4219234
19,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2722,4221960
